Data,Tipo,Valor,Descrição,Status,Categoria,Conta,Recorrente,Tipo_Recorrência,Limite_Recorrência,Data_Criação,Data_Atualização
"24/03/2026","EXPENSE","R$ 8,95","Compra no débito|CONCESSIONARIA VIARIO","PAID","Pedágio / Estacionamento","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"24/03/2026","EXPENSE","R$ 8,95","Compra no débito|CONCESSIONARIA VIARIO","PAID","Pedágio / Estacionamento","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"23/03/2026","EXPENSE","R$ 1.260,80","PIX QRS PHARMACIA E23/03","PAID","Farmácia","CC - ITAU","Não","","","24/03/2026 15:29","24/03/2026 15:29"
"23/03/2026","EXPENSE","R$ 197,41","PIX QRS IFOOD.COM A23/03","PAID","Restaurante / Ifood","CC - ITAU","Não","","","24/03/2026 15:29","24/03/2026 15:29"
"23/03/2026","EXPENSE","R$ 120,00","Compra no débito|CASAFRUTI RIO 2","PAID","Alimentação","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"23/03/2026","EXPENSE","R$ 35,41","Compra no débito via NuPay|iFood","PAID","Restaurante / Ifood","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"22/03/2026","EXPENSE","R$ 464,97","PIX QRS MAC RESTAUR22/03","PAID","Restaurante / Ifood","CC - ITAU","Não","","","24/03/2026 15:29","24/03/2026 15:29"
"22/03/2026","EXPENSE","R$ 105,86","Compra no débito via NuPay|Uber","PAID","Uber / 99","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"22/03/2026","EXPENSE","R$ 35,80","Compra no débito|RETAIL MAKERS SP LTDA","PAID","Roupa / Sapatos / Vestuário","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"22/03/2026","EXPENSE","R$ 22,44","Compra no débito|AEROMIX CONVENIENCIAS","PAID","Alimentação","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"22/03/2026","EXPENSE","R$ 24,00","Compra no débito via NuPay|Uber","PAID","Uber / 99","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"22/03/2026","EXPENSE","R$ 36,83","Compra no débito via NuPay|Uber","PAID","Uber / 99","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"22/03/2026","EXPENSE","R$ 28,00","Compra no débito|MAC RESTAURANTES LTDA","PAID","Restaurante / Ifood","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"22/03/2026","EXPENSE","R$ 100,00","Compra no débito via NuPay|AZUL LINHAS AEREAS","PAID","Viagens","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"22/03/2026","EXPENSE","R$ 14,98","Compra no débito|VEND PERTO MACHINES","PAID","Compras Geral","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"22/03/2026","EXPENSE","R$ 24,58","Compra no débito|OXXO CENTER MED","PAID","Pedágio / Estacionamento","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"22/03/2026","EXPENSE","R$ 16,97","Compra no débito|VEND PERTO MACHINES","PAID","Pedágio / Estacionamento","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"22/03/2026","EXPENSE","R$ 41,46","Compra no débito via NuPay|Uber","PAID","Uber / 99","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"21/03/2026","EXPENSE","R$ 25,21","Compra no débito via NuPay|Uber","PAID","Uber / 99","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"21/03/2026","EXPENSE","R$ 67,98","Compra no débito|BDA VILA OLIMPIA","PAID","Viagens","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"21/03/2026","EXPENSE","R$ 27,66","Compra no débito via NuPay|Uber","PAID","Uber / 99","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"20/03/2026","EXPENSE","R$ 32,58","Compra no débito via NuPay|Uber","PAID","Uber / 99","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"20/03/2026","EXPENSE","R$ 46,98","Compra no débito|CUMARU RESTAURANTE","PAID","Restaurante / Ifood","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"20/03/2026","EXPENSE","R$ 33,44","Compra no débito via NuPay|Uber","PAID","Uber / 99","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"20/03/2026","EXPENSE","R$ 45,35","Compra no débito via NuPay|Uber","PAID","Uber / 99","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"20/03/2026","EXPENSE","R$ 24,90","Compra no débito|RODOSNACK ESTRELA DA D","PAID","Pedágio / Estacionamento","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"20/03/2026","EXPENSE","R$ 16,29","Compra no débito via NuPay|Uber","PAID","Uber / 99","CC - NUBANK","Não","","","24/03/2026 15:32","24/03/2026 15:32"
"19/03/2026","EXPENSE","R$ 196,00","PIX QRS TANIA BULHO19/03","PAID","Compras Moradia","CC - ITAU","Não","","","19/03/2026 15:27","19/03/2026 15:27"
"19/03/2026","INCOME","R$ 1.250,00","DEP CHEQUE APP N. 169218","PAID","Receitas Geral","CC - ITAU","Não","","","19/03/2026 15:27","19/03/2026 15:27"
"19/03/2026","EXPENSE","R$ 14,00","Compra no débito|DONA LILI CAFETERIA E","PAID","Restaurante / Ifood","CC - NUBANK","Não","","","19/03/2026 15:51","19/03/2026 15:51"
"19/03/2026","EXPENSE","R$ 3,00","Compra no débito|LOJA DO MURILO UNIVERS","PAID","Compras Geral","CC - NUBANK","Não","","","19/03/2026 15:51","19/03/2026 15:51"
"19/03/2026","EXPENSE","R$ 6,00","Compra no débito|MP *MARCUS1994","PAID","Pedágio / Estacionamento","CC - NUBANK","Não","","","19/03/2026 15:51","19/03/2026 15:51"
"19/03/2026","EXPENSE","R$ 13,00","Compra no débito|MP *MARCUS1994","PAID","Pedágio / Estacionamento","CC - NUBANK","Não","","","19/03/2026 15:51","19/03/2026 15:51"
"19/03/2026","EXPENSE","R$ 8,95","Compra no débito|CONCESSIONARIA VIARIO","PAID","Pedágio / Estacionamento","CC - NUBANK","Não","","","19/03/2026 15:51","19/03/2026 15:51"
"19/03/2026","EXPENSE","R$ 15,00","PIX QRS Marcus Vini19/03","PAID","Pedágio / Estacionamento","CC - ITAU","Não","","","24/03/2026 15:29","24/03/2026 15:29"
"18/03/2026","INCOME","R$ 84,00","PIX RECEBIDO   Raynara da Conceicao Ferr","PAID","Váriável (Consultório / Laudos )","Banco Santander","Não","","","19/03/2026 14:55","19/03/2026 14:55"
"18/03/2026","EXPENSE","R$ 510,00","PIX TRANSF MAYARA 18/03","PAID","Cuidados pessoais Geral","CC - ITAU","Não","","","19/03/2026 15:27","25/03/2026 21:01"
"18/03/2026","EXPENSE","R$ 139,80","PIX QRS LUIDGI SPEC18/03","PAID","Compras Geral","CC - ITAU","Não","","","19/03/2026 15:27","25/03/2026 21:01"
"18/03/2026","EXPENSE","R$ 776,15","PIX QRS Industria E18/03","PAID","Insumos / Materiais","CC - ITAU","Não","","","19/03/2026 15:27","25/03/2026 21:00"
"18/03/2026","EXPENSE","R$ 297,00","PIX QRS LIZIE18/03","PAID","Roupa / Sapatos / Vestuário","CC - ITAU","Não","","","19/03/2026 15:27","19/03/2026 15:53"
"18/03/2026","EXPENSE","R$ 477,06","PIX TRANSF PEC COM18/03","PAID","Insumos / Materiais","CC - ITAU","Não","","","19/03/2026 15:27","25/03/2026 21:01"
